"Timestamp","When purchasing an electronic device do you consider how easy it would be to repair? ","If you answered ""sometimes"" to the above question could you please detail under what circumstances you would ","Would you ever purchase a broken electronic device with the intent to repair it for use? ","If an electronic device you own breaks would you attempt a repair before finding a replacement? ","Where would you source your instructions for the repair of an electronic device if you were to attempt one? (may select more than 1)","When repairing, what device would you be most likely to use to view instructions on? (select all that apply) ","What would prevent you from attempting a repair on an electronic device? (may select more than 1)","Do you think that modern electronic devices are harder to repair than older items? ","Do you believe that the right to repair should be protected and that manufacturers should be made to make their products repair-friendly? "
"2019/10/26 5:34:22 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/26 5:47:03 PM GMT+1","No","I said no as my answer.","Maybe","Yes","Take it to someone to repair it.","Computer / laptop","Issues with sourcing replacement parts","No","Yes"
"2019/10/26 6:42:51 PM GMT+1","No","","No","No","Websites;Youtube/Online Video;manufacturer ","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Not interested in self repair","Yes","Yes"
"2019/10/26 6:42:55 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 6:43:02 PM GMT+1","No","","Yes","Maybe","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","No","No"
"2019/10/26 6:43:18 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 6:43:18 PM GMT+1","Sometimes","Not messing with plumbing ","Yes","Yes","Websites;Youtube/Online Video;Book","Television","Lack of access to appropriate tools","Yes","Yes"
"2019/10/26 6:43:26 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video;ask my brother ","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/26 6:43:36 PM GMT+1","Yes","","Maybe","Yes","Websites","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 6:43:45 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 6:43:56 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/26 6:44:02 PM GMT+1","No","","No","No","Youtube/Online Video","Computer / laptop","Lack of skill;Not interested in self repair","Yes","No"
"2019/10/26 6:44:02 PM GMT+1","Sometimes","Depends on how many times I have damaged an item before, for example, moible phones and headphones","Yes","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/26 6:44:04 PM GMT+1","Yes","","Maybe","Maybe","The store I got it at because I payed for Insurance","Mobile phone / tablet","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","No","Yes"
"2019/10/26 6:45:00 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Television;Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","No"
"2019/10/26 6:46:18 PM GMT+1","No","","Maybe","No","All Above","Computer / laptop","Lack of access to appropriate tools;Lack of skill","No","Yes"
"2019/10/26 6:46:24 PM GMT+1","Yes","","Maybe","Maybe","Websites;Youtube/Online Video;Book","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/26 6:48:50 PM GMT+1","Yes","","Yes","Yes","Websites","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 6:57:28 PM GMT+1","Yes","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer","Maybe","Yes"
"2019/10/26 6:58:36 PM GMT+1","Sometimes","I’m likely to do this with say a pc, preferring a desktop over a laptop for this reason, less so other devices e.g. phone.","Yes","Yes","Youtube/Online Video","Computer / laptop","Lack of skill","Yes","Yes"
"2019/10/26 7:01:44 PM GMT+1","No","","No","No","Websites","Computer / laptop","Lack of skill","Maybe","Yes"
"2019/10/26 7:04:20 PM GMT+1","No","","No","Yes","Youtube/Online Video","Computer / laptop","Lack of skill","No","Unsure"
"2019/10/26 7:06:30 PM GMT+1","Sometimes","If I bought the product for the sole purpose of repairing.","Yes","Yes","Search for a PDF manual.","Mobile phone / tablet;Computer / laptop;Keyboard, Controller","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 7:08:49 PM GMT+1","Sometimes","If I expected to have it for a long time, if it was something fairly simple to repair","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 7:17:15 PM GMT+1","No","","No","Yes","Family","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/26 7:18:33 PM GMT+1","No","","No","Yes","Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Not interested in self repair","Yes","Yes"
"2019/10/26 7:30:28 PM GMT+1","Yes","","No","Maybe","Websites;Youtube/Online Video;Book","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/26 7:31:44 PM GMT+1","No","","No","Yes","Youtube/Online Video","Mobile phone / tablet","Lack of skill","Yes","Yes"
"2019/10/26 7:42:54 PM GMT+1","Sometimes","If I know about the product, e.g. computers.","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Unsure"
"2019/10/26 7:42:58 PM GMT+1","No","","Yes","Yes","Youtube/Online Video","Computer / laptop","Lack of skill","Yes","No"
"2019/10/26 7:44:56 PM GMT+1","No","","No","No","Websites;Youtube/Online Video;Book","Television;Mobile phone / tablet;Computer / laptop","Lack of skill;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/26 7:46:41 PM GMT+1","No","","No","No","Websites;Youtube/Online Video;Book","Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 7:55:36 PM GMT+1","Yes","","No","Yes","A computer store or something","Mobile phone / tablet;Computer / laptop","Lack of skill","Maybe","Yes"
"2019/10/26 8:04:46 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 8:07:08 PM GMT+1","No","","No","No","Youtube/Online Video","Mobile phone / tablet","Lack of skill;Not interested in self repair","Maybe","No"
"2019/10/26 8:08:29 PM GMT+1","Sometimes","It’s just something I often consider as a passive observation. ","Maybe","Yes","Websites;Youtube/Online Video","Television;Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/26 8:20:01 PM GMT+1","No","","No","Yes","Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill","No","Yes"
"2019/10/26 8:42:45 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/26 8:50:10 PM GMT+1","Sometimes","is it an ebay item that says for scraps or repair","Yes","Maybe","Websites","Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 9:14:15 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 10:01:28 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","No","Yes"
"2019/10/26 10:06:18 PM GMT+1","Sometimes","Big chungus action figure","Maybe","Maybe","Websites;Youtube/Online Video;Book","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts;Not interested in self repair","Maybe","Yes"
"2019/10/26 11:44:58 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video;Book;Someone with knowledge in that kind of electrical component. (e.g. Range rover lcd screen/navigation unit, would ask a auto electrician tech) ","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/27 12:22:20 AM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts;Not interested in self repair","Maybe","Yes"
"2019/10/27 1:04:39 AM GMT+1","No","","No","Yes","Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools","Maybe","Yes"
"2019/10/27 2:33:42 AM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/27 3:22:46 AM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill","Maybe","Unsure"
"2019/10/27 3:58:26 AM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Not interested in self repair","No","Unsure"
"2019/10/27 1:30:04 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video;Book","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/28 12:22:16 PM GMT+1","Sometimes","Larger white goods with mechanical components","No","Yes","Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools","Yes","Yes"
"2019/10/28 12:26:56 PM GMT+1","No","","No","No","Websites","Mobile phone / tablet","Lack of skill;Not interested in self repair","Yes","Unsure"
"2019/10/28 12:27:48 PM GMT+1","No","","Yes","Maybe","Websites;Youtube/Online Video","Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:28:20 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Maybe","Unsure"
"2019/10/28 12:29:36 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:29:47 PM GMT+1","Yes","","No","Yes","Websites;Youtube/Online Video;Just take it apart to see how it works.","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:31:44 PM GMT+1","Sometimes","In the past no, but it is something I'm more aware of now. Mainly due to the fact that I'm fixing more and realising what it is possible for me to do.","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:32:12 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:32:21 PM GMT+1","Sometimes","I don't buy many electronics, but things like bike lights I buy with the intention of replacing the light or the battery unit if one fails.","No","Yes","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:33:06 PM GMT+1","Sometimes","Would be a consideration for something simple like washing machine, not something difficult like laptop","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer","Yes","Yes"
"2019/10/28 12:33:36 PM GMT+1","Yes","I look for replaceable batteries, common power supply types, and screws in the case rather then welded shut","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:33:37 PM GMT+1","Sometimes","if the product is designed/made to be easily repaired (e.g. toaster is more likely to be repaired than a TV)","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/28 12:33:52 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 12:33:58 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","No"
"2019/10/28 12:34:37 PM GMT+1","Sometimes","For stuff like fitbits I’d want to know that I could change straps easily. For most stuff (Alexas, TVs, iPhones, iPads) no, because they look too complicated and I know I can get them repaired by posting them off. Computers I’d quite happily test/replace components, but wouldn’t try to repair an individual component, eg power supply, motherboard, etc. ","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/28 12:34:43 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 12:35:21 PM GMT+1","No","","No","Maybe","Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/28 12:35:32 PM GMT+1","No","","No","No","Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools;Lack of skill","Yes","Unsure"
"2019/10/28 12:38:04 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:38:34 PM GMT+1","Sometimes","If it was audio equipment e.g. amp/deck etc","Maybe","Maybe","Websites;Youtube/Online Video;Book","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:39:03 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of skill","Maybe","No"
"2019/10/28 12:39:31 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:40:13 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video;Book;Manufacturer","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:40:52 PM GMT+1","No","","No","Maybe","Websites","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools","Yes","Yes"
"2019/10/28 12:41:05 PM GMT+1","Sometimes","Whether it was new or used. Whether it was entirely solid state or had any mechanical elements.Cost of purchase.","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 12:42:23 PM GMT+1","Sometimes","depends on the nature and cost of the device","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:42:36 PM GMT+1","No","","No","No","Websites","Computer / laptop","Lack of skill","Yes","Yes"
"2019/10/28 12:44:17 PM GMT+1","Sometimes","For 'major' (>£200) items that might have parts that will wear out over time.","Maybe","Yes","Websites;Youtube/Online Video;forums and the original manufacturer","Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/28 12:44:18 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:44:24 PM GMT+1","Sometimes","Depends on the type of electronics, ie phone vs hand drill ","No","Yes","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:45:13 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:45:34 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video;Book","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:46:21 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 12:49:23 PM GMT+1","Sometimes","If I am likely to use the device/item often in a way/environment where damaging it would be likely.","Maybe","Maybe","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:49:38 PM GMT+1","Sometimes","Depends on the product and the complexity.","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:50:33 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","No"
"2019/10/28 12:50:42 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/28 12:50:52 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Maybe","Unsure"
"2019/10/28 12:52:20 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill","Maybe","Yes"
"2019/10/28 12:53:02 PM GMT+1","Sometimes","I'd consider the length of warranty and the availbility of spares when set against the price. ","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:53:25 PM GMT+1","Sometimes","Mostly for the ability to modify and upgrade the device in the future","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:53:32 PM GMT+1","Yes","","Yes","Yes","My experience","My memory","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:53:37 PM GMT+1","Sometimes","I can repair some stuff with discrete components but I'm stuffed when it comes to ICs.","Yes","Maybe","Websites;Youtube/Online Video;Book","Computer / laptop;book","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:54:28 PM GMT+1","No","","No","Maybe","Websites","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:55:02 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/28 12:56:41 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:56:52 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Computer / laptop","Lack of skill","Maybe","Yes"
"2019/10/28 12:58:31 PM GMT+1","Sometimes","Toaster, kettle, washing machine - yes. Something more complex then no.","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/28 12:58:34 PM GMT+1","Yes","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 12:58:45 PM GMT+1","No","","Yes","Yes","Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools","Yes","Yes"
"2019/10/28 1:00:20 PM GMT+1","No","","No","Yes","Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:00:38 PM GMT+1","Yes","","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools","No","Yes"
"2019/10/28 1:01:16 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools","Maybe","Yes"
"2019/10/28 1:01:34 PM GMT+1","Sometimes","","No","Maybe","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:03:08 PM GMT+1","No","","No","Maybe","Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools","Yes","Yes"
"2019/10/28 1:03:23 PM GMT+1","Sometimes","Depends on the device. eg a washing machine I would look for availability of parts","Maybe","Yes","Websites;Youtube/Online Video;Open it up and poke around!","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/28 1:03:48 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer","Yes","Yes"
"2019/10/28 1:05:18 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:05:32 PM GMT+1","Sometimes","if expected life is >6 years or so","No","Yes","Websites;Youtube/Online Video;just have a go","Mobile phone / tablet;Computer / laptop","Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 1:05:32 PM GMT+1","Sometimes","","Yes","Yes","Youtube/Online Video","Computer / laptop","Design choices by the manufacturer","Yes","Yes"
"2019/10/28 1:06:08 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:06:10 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:06:40 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of skill","Yes","Yes"
"2019/10/28 1:06:56 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 1:06:57 PM GMT+1","Sometimes","For laptops would replace disk, battery etc.","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Unsure"
"2019/10/28 1:07:32 PM GMT+1","No","","No","Yes","Websites","Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:08:57 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 1:10:55 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:11:00 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video;Book;strip it down and see","Mobile phone / tablet;Computer / laptop;paper","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:11:15 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:12:39 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools","Yes","Yes"
"2019/10/28 1:13:23 PM GMT+1","Sometimes","I'd expect it  to be repairable - but not necessarily by me.","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of skill","Yes","Yes"
"2019/10/28 1:14:45 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:15:10 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:15:39 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer","No","Yes"
"2019/10/28 1:17:49 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:20:17 PM GMT+1","No","","Yes","Yes","Websites","Mobile phone / tablet;Computer / laptop","Issues with sourcing replacement parts","Yes","No"
"2019/10/28 1:21:54 PM GMT+1","Sometimes","If it's expensive.","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 1:30:01 PM GMT+1","Sometimes","Replaceable batteries
","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/28 1:31:39 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:31:49 PM GMT+1","Sometimes","Computers and phones, not appliances","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:32:23 PM GMT+1","No","","No","No","Websites;Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 1:33:13 PM GMT+1","No","","No","Yes","Websites","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
