"Timestamp","When purchasing an electronic device do you consider how easy it would be to repair? ","If you answered ""sometimes"" to the above question could you please detail under what circumstances you would ","Would you ever purchase a broken electronic device with the intent to repair it for use? ","If an electronic device you own breaks would you attempt a repair before finding a replacement? ","Where would you source your instructions for the repair of an electronic device if you were to attempt one? (may select more than 1)","When repairing, what device would you be most likely to use to view instructions on? (select all that apply) ","What would prevent you from attempting a repair on an electronic device? (may select more than 1)","Do you think that modern electronic devices are harder to repair than older items? ","Do you believe that the right to repair should be protected and that manufacturers should be made to make their products repair-friendly? "
"2019/10/28 3:40:01 PM GMT+1","Sometimes","Depends on cost, sometimes not worth the effort","Yes","Yes","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:41:30 PM GMT+1","Sometimes","I tend to check if things are easily replaceable - e.g. batteries (laptops), cables (headphones)","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:43:55 PM GMT+1","Sometimes","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:44:38 PM GMT+1","Sometimes","","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","No","No"
"2019/10/28 3:45:22 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","No"
"2019/10/28 3:47:07 PM GMT+1","Sometimes","Expensive things that may last a long time such as washing machine or computer.","No","Yes","Websites;Youtube/Online Video;Take it apart and work it out","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 3:49:49 PM GMT+1","No","","Maybe","Yes","Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:51:59 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Lack of skill;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/28 3:52:43 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of skill","Yes","Yes"
"2019/10/28 3:53:09 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:59:50 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 4:00:37 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill","Maybe","Yes"
"2019/10/28 4:00:53 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer","Yes","Yes"
"2019/10/28 4:03:13 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Computer / laptop","Lack of skill","Yes","No"
"2019/10/28 4:04:55 PM GMT+1","Yes","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 4:11:31 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/28 4:15:16 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer","Yes","Yes"
"2019/10/28 4:20:29 PM GMT+1","Yes","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/28 4:22:35 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of skill","Yes","Yes"
"2019/10/28 4:32:09 PM GMT+1","Sometimes","Not high street consumer electronics. ","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 4:39:47 PM GMT+1","Yes","","No","Yes","Websites;Youtube/Online Video;Book","Television;Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 4:42:06 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 4:44:00 PM GMT+1","No","","No","Yes","Youtube/Online Video;Start to dismantle without instructions","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
